Barangay_No,Barangay,x,y,Year,Month,Dengue Cases
3,BONBONON,8.2667,124.2902,2017,1,0
3,BONBONON,8.2667,124.2902,2018,1,0
3,BONBONON,8.2667,124.2902,2019,1,9
3,BONBONON,8.2667,124.2902,2020,1,2
3,BONBONON,8.2667,124.2902,2021,1,0
3,BONBONON,8.2667,124.2902,2022,1,0
3,BONBONON,8.2667,124.2902,2011,2,0
3,BONBONON,8.2667,124.2902,2012,2,0
3,BONBONON,8.2667,124.2902,2013,2,0
3,BONBONON,8.2667,124.2902,2014,2,0
3,BONBONON,8.2667,124.2902,2015,2,0
3,BONBONON,8.2667,124.2902,2016,2,1
3,BONBONON,8.2667,124.2902,2017,2,0
3,BONBONON,8.2667,124.2902,2018,2,0
3,BONBONON,8.2667,124.2902,2019,2,0
3,BONBONON,8.2667,124.2902,2020,2,0
3,BONBONON,8.2667,124.2902,2021,2,0
3,BONBONON,8.2667,124.2902,2022,2,0
3,BONBONON,8.2667,124.2902,2011,3,0
3,BONBONON,8.2667,124.2902,2012,3,0
3,BONBONON,8.2667,124.2902,2013,3,0
3,BONBONON,8.2667,124.2902,2014,3,0
3,BONBONON,8.2667,124.2902,2015,3,0
3,BONBONON,8.2667,124.2902,2016,3,0
3,BONBONON,8.2667,124.2902,2017,3,2
3,BONBONON,8.2667,124.2902,2018,3,1
3,BONBONON,8.2667,124.2902,2019,3,0
3,BONBONON,8.2667,124.2902,2020,3,0
3,BONBONON,8.2667,124.2902,2021,3,0
3,BONBONON,8.2667,124.2902,2022,3,0
3,BONBONON,8.2667,124.2902,2011,4,0
3,BONBONON,8.2667,124.2902,2012,4,0
3,BONBONON,8.2667,124.2902,2013,4,0
3,BONBONON,8.2667,124.2902,2014,4,0
3,BONBONON,8.2667,124.2902,2015,4,0
3,BONBONON,8.2667,124.2902,2016,4,0
3,BONBONON,8.2667,124.2902,2017,4,0
3,BONBONON,8.2667,124.2902,2018,4,0
3,BONBONON,8.2667,124.2902,2019,4,0
3,BONBONON,8.2667,124.2902,2020,4,0
3,BONBONON,8.2667,124.2902,2021,4,2
3,BONBONON,8.2667,124.2902,2022,4,0
3,BONBONON,8.2667,124.2902,2011,5,0
3,BONBONON,8.2667,124.2902,2012,5,0
3,BONBONON,8.2667,124.2902,2013,5,0
3,BONBONON,8.2667,124.2902,2014,5,0
